Date,AwayTeam,Away1st,Away2nd,Away3rd,AwayFinal,MlAwayOpen,MlAwayClose,OpenOU,OpenOOdds,CloseOU,CloseOOdds,Year,HomeTeam,Home1st,Home2nd,Home3rd,HomeFinal,MlHomeOpen,MlHomeClose,OpenUOdds,CloseUOdds,RealDate
929,Anaheim,0,0,1,1,-155.0,-123.0,6.0,100,6.0,-105,2008,LosAngeles,1.0,1.0,2.0,4.0,135.0,103.0,-120.0,-115.0,2007-09-29
930,LosAngeles,0,1,0,1,115.0,132.0,6.0,-115,6.0,112,2008,Anaheim,2.0,2.0,0.0,4.0,-135.0,-152.0,-105.0,-132.0,2007-09-30
1003,Anaheim,0,2,0,2,165.0,190.0,5.5,105,5.5,120,2008,Detroit,1.0,0.0,1.0,3.0,-185.0,-230.0,-125.0,-140.0,2007-10-03
1003,Montreal,1,0,1,3,130.0,140.0,6.0,-105,6.0,110,2008,Carolina,1.0,0.0,1.0,2.0,-150.0,-160.0,-115.0,-130.0,2007-10-03
1003,Ottawa,2,0,1,4,-120.0,-125.0,6.0,-120,6.0,-135,2008,Toronto,2.0,1.0,0.0,3.0,100.0,105.0,100.0,115.0,2007-10-03
1003,Dallas,0,1,2,3,115.0,135.0,5.5,-115,5.5,-115,2008,Colorado,1.0,3.0,0.0,4.0,-135.0,-155.0,-105.0,-105.0,2007-10-03
1004,Toronto,0,2,0,2,170.0,150.0,6.0,-130,6.0,-125,2008,Ottawa,1.0,1.0,1.0,3.0,-200.0,-170.0,110.0,105.0,2007-10-04
1004,Florida,0,2,0,2,160.0,170.0,5.5,-105,5.5,100,2008,NYRangers,1.0,0.0,4.0,5.0,-180.0,-190.0,-115.0,-120.0,2007-10-04
1004,NewJersey,1,0,0,1,115.0,115.0,5.5,105,5.5,120,2008,TampaBay,0.0,1.0,2.0,3.0,-135.0,-135.0,-125.0,-140.0,2007-10-04
1004,Colorado,0,0,0,0,-105.0,100.0,5.5,-130,5.5,-125,2008,Nashville,2.0,1.0,1.0,4.0,-115.0,-120.0,110.0,105.0,2007-10-04
1004,Chicago,0,0,0,0,175.0,190.0,5.0,-130,5.0,-135,2008,Minnesota,0.0,1.0,0.0,1.0,-205.0,-230.0,110.0,115.0,2007-10-04
1004,SanJose,0,0,2,2,-135.0,-145.0,5.5,-110,5.5,110,2008,Edmonton,0.0,0.0,2.0,3.0,115.0,125.0,-110.0,-130.0,2007-10-04
1004,Philadelphia,2,0,1,3,155.0,130.0,5.5,-110,5.5,-105,2008,Calgary,0.0,1.0,1.0,2.0,-175.0,-150.0,-110.0,-115.0,2007-10-04
1004,St.Louis,0,0,2,2,-115.0,-120.0,5.5,-120,5.5,-125,2008,Arizona,0.0,1.0,2.0,3.0,-105.0,100.0,100.0,105.0,2007-10-04
1005,Anaheim,0,0,0,0,-110.0,-120.0,5.5,-110,5.5,110,2008,Columbus,2.0,0.0,2.0,4.0,-110.0,100.0,-110.0,-130.0,2007-10-05
1005,Pittsburgh,0,0,1,1,-110.0,-110.0,6.5,-105,6.5,100,2008,Carolina,2.0,2.0,0.0,4.0,-110.0,-110.0,-115.0,-120.0,2007-10-05
1005,NYIslanders,3,2,1,6,160.0,160.0,6.0,-120,6.0,-125,2008,Buffalo,3.0,1.0,0.0,4.0,-180.0,-180.0,100.0,105.0,2007-10-05
1005,Washington,2,0,1,3,120.0,135.0,6.5,-115,6.5,-115,2008,Winnipeg,0.0,1.0,0.0,1.0,-140.0,-155.0,-105.0,-105.0,2007-10-05
1005,Boston,0,1,0,1,160.0,160.0,5.5,-105,5.5,110,2008,Dallas,1.0,2.0,1.0,4.0,-180.0,-180.0,-115.0,-130.0,2007-10-05
1005,SanJose,3,0,0,3,-105.0,105.0,5.0,-115,5.0,-115,2008,Vancouver,0.0,0.0,1.0,1.0,-115.0,-125.0,-105.0,-105.0,2007-10-05
1006,Montreal,1,2,0,3,120.0,135.0,6.0,100,6.0,-110,2008,Toronto,1.0,1.0,1.0,4.0,-140.0,-155.0,-120.0,-110.0,2007-10-06
