Away_Team,Away_FF,Away_SF,Away_GF,Away_xGF,Away_SCF,Away_HDCF,Away_HDSF,Away_MDCF,Away_MDSF,Away_LDCF,Away_LDSF,Away_PDO,Date,Home_Team,Home_FF,Home_SF,Home_GF,Home_xGF,Home_SCF,Home_HDCF,Home_HDSF,Home_MDCF,Home_MDSF,Home_LDCF,Home_LDSF,Home_PDO
Anaheim,18,14,0,1.28,15,6,4,9,5,12,5,1.0,2007-09-29,LosAngeles,9.0,6.0,0.0,0.34,7.0,0.0,0.0,7.0,5.0,2.0,0.0,1.0
Anaheim,26,19,2,1.53,19,9,8,10,5,10,5,1.055,2007-09-30,LosAngeles,26.0,20.0,1.0,1.2,16.0,3.0,3.0,13.0,7.0,13.0,10.0,0.945
Carolina,32,22,1,2.15,26,12,7,14,5,15,10,1.045,2007-10-03,Montreal,32.0,24.0,0.0,2.13,27.0,11.0,9.0,16.0,8.0,19.0,6.0,0.955
Anaheim,12,7,1,0.78,9,3,2,6,3,6,2,1.143,2007-10-03,Detroit,33.0,22.0,0.0,1.92,22.0,8.0,6.0,14.0,7.0,12.0,8.0,0.857
Ottawa,31,21,3,1.6,22,8,4,14,8,15,8,0.993,2007-10-03,Toronto,31.0,20.0,3.0,1.77,29.0,9.0,4.0,20.0,9.0,13.0,7.0,1.007
Colorado,25,21,4,1.61,20,11,10,9,4,12,6,1.149,2007-10-03,Dallas,39.0,24.0,1.0,1.58,18.0,4.0,0.0,14.0,9.0,30.0,14.0,0.851
Colorado,39,33,0,2.35,25,11,9,14,11,23,13,0.87,2007-10-04,Nashville,33.0,23.0,3.0,1.71,21.0,7.0,6.0,14.0,4.0,20.0,13.0,1.13
Chicago,20,14,0,0.68,7,1,1,6,5,16,8,0.95,2007-10-04,Minnesota,25.0,20.0,1.0,1.61,18.0,10.0,7.0,8.0,8.0,12.0,5.0,1.05
Arizona,39,28,3,2.92,25,15,14,10,6,17,7,1.057,2007-10-04,St.Louis,24.0,20.0,1.0,1.31,12.0,5.0,4.0,7.0,4.0,14.0,8.0,0.943
NewJersey,29,18,0,1.18,20,3,2,17,8,19,8,0.889,2007-10-04,Tampa Bay,26.0,18.0,2.0,1.24,17.0,8.0,7.0,9.0,5.0,12.0,6.0,1.111
